[Topic] k=10,  change alpha=1.0, L=1 	[Accuracy] train: 0.557483110042 	test: 0.520767135724
[Topic] k=10,  change alpha=1.0, L=1 (cond) 	[Accuracy] train: 0.564868888126 	test: 0.530299591466
[Topic] k=10,  change alpha=1.0, L=3 	[Accuracy] train: 0.555708233139 	test: 0.513958238765
[Topic] k=10,  change alpha=1.0, L=3 (cond) 	[Accuracy] train: 0.567846100996 	test: 0.518043576941
[Topic] k=10,  change alpha=1.0, L=5 	[Accuracy] train: 0.549467536929 	test: 0.507716749887
[Topic] k=10,  change alpha=1.0, L=5 (cond) 	[Accuracy] train: 0.567731592809 	test: 0.518724466636
[Topic] k=10,  change alpha=1.0, L=10 	[Accuracy] train: 0.546375815871 	test: 0.505787562415
[Topic] k=10,  change alpha=1.0, L=10 (cond) 	[Accuracy] train: 0.565956715905 	test: 0.515546981389
[Topic] k=10,  change alpha=1.0, L=20 	[Accuracy] train: 0.550784381083 	test: 0.506014525647
[Topic] k=10,  change alpha=1.0, L=20 (cond) 	[Accuracy] train: 0.562464216191 	test: 0.518724466636
[Topic] k=10,  change alpha=0.9, L=1 	[Accuracy] train: 0.557654872323 	test: 0.520653654108
[Topic] k=10,  change alpha=0.9, L=1 (cond) 	[Accuracy] train: 0.56401007672 	test: 0.530640036314
[Topic] k=10,  change alpha=0.9, L=3 	[Accuracy] train: 0.552902782549 	test: 0.515660463005
[Topic] k=10,  change alpha=0.9, L=3 (cond) 	[Accuracy] train: 0.568246879652 	test: 0.519859282796
[Topic] k=10,  change alpha=0.9, L=5 	[Accuracy] train: 0.55135692202 	test: 0.50873808443
[Topic] k=10,  change alpha=0.9, L=5 (cond) 	[Accuracy] train: 0.567502576434 	test: 0.5191783931
[Topic] k=10,  change alpha=0.9, L=10 	[Accuracy] train: 0.550841635177 	test: 0.505447117567
[Topic] k=10,  change alpha=0.9, L=10 (cond) 	[Accuracy] train: 0.566357494561 	test: 0.519064911484
[Topic] k=10,  change alpha=0.9, L=20 	[Accuracy] train: 0.549066758273 	test: 0.506468452111
[Topic] k=10,  change alpha=0.9, L=20 (cond) 	[Accuracy] train: 0.564353601282 	test: 0.51974580118
[Topic] k=10,  change alpha=0.8, L=1 	[Accuracy] train: 0.559372495133 	test: 0.520426690876
[Topic] k=10,  change alpha=0.8, L=1 (cond) 	[Accuracy] train: 0.565212412688 	test: 0.53018610985
[Topic] k=10,  change alpha=0.8, L=3 	[Accuracy] train: 0.557883888698 	test: 0.513277349069
