stock: t=1 	[Accuracy] train: 0.489804679116 	test: 0.507149046794
stock: t=2 	[Accuracy] train: 0.494419403305 	test: 0.504766031196
stock: t=3 	[Accuracy] train: 0.495170637476 	test: 0.505415944541
stock: t=4 	[Accuracy] train: 0.503756170852 	test: 0.501949740035
stock: t=5 	[Accuracy] train: 0.502253702511 	test: 0.492201039861
stock: t=6 	[Accuracy] train: 0.502039064177 	test: 0.492417677643
stock: t=7 	[Accuracy] train: 0.522322386778 	test: 0.494800693241
stock: t=8 	[Accuracy] train: 0.523717535952 	test: 0.494800693241
stock: t=9 	[Accuracy] train: 0.525005365958 	test: 0.492850953206
stock: t=10 	[Accuracy] train: 0.520068684267 	test: 0.489818024263
stock: t=11 	[Accuracy] train: 0.5199613651   	test: 0.491334488735
stock: t=12 	[Accuracy] train: 0.527688345138 	test: 0.486785095321
stock: t=13 	[Accuracy] train: 0.525756600129 	test: 0.487651646447
stock: t=14 	[Accuracy] train: 0.525005365958 	test: 0.492850953206
stock: t=15 	[Accuracy] train: 0.523073620949 	test: 0.493500866551
stock: t=16 	[Accuracy] train: 0.523717535952 	test: 0.48808492201
stock: t=17 	[Accuracy] train: 0.524898046791 	test: 0.487218370884
stock: t=18 	[Accuracy] train: 0.531015239322 	test: 0.491551126516
stock: t=19 	[Accuracy] train: 0.532088430994 	test: 0.495667244367
stock: t=20 	[Accuracy] train: 0.531122558489 	test: 0.49068457539
